[Thu May 17 18:44:01.377065 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  32. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:64, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377072 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  33. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377079 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  34. Illuminate\\View\\Middleware\\ShareErrorsFromSession->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377086 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  35. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377093 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  36. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377101 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  37. Illuminate\\Foundation\\Http\\Middleware\\VerifyCsrfToken->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377108 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  38. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:65, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377115 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  39. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377122 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  40. Illuminate\\Auth\\Middleware\\Authenticate->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377129 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  41. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Auth/Middleware/Authenticate.php:43, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377137 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  42. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377144 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  43. Illuminate\\Routing\\Middleware\\SubstituteBindings->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377151 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  44. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Middleware/SubstituteBindings.php:41, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377162 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  45. Illuminate\\Routing\\Router->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377169 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  46. Illuminate\\Routing\\Router->prepareResponse() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:573, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377176 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  47. Symfony\\Component\\HttpFoundation\\Response->__construct() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:615, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377183 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  48. Illuminate\\Http\\Response->setContent() /var/www/blog/vendor/symfony/http-foundation/Response.php:201, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377190 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  49. Illuminate\\View\\View->render() /var/www/blog/vendor/laravel/framework/src/Illuminate/Http/Response.php:38, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377197 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  50. Illuminate\\View\\View->renderContents() /var/www/blog/vendor/laravel/framework/src/Illuminate/View/View.php:85, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377204 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  51. Illuminate\\View\\View->getContents() /var/www/blog/vendor/laravel/framework/src/Illuminate/View/View.php:120, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377211 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  52. Illuminate\\View\\Engines\\CompilerEngine->get() /var/www/blog/vendor/laravel/framework/src/Illuminate/View/View.php:137, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377218 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  53. Illuminate\\View\\Engines\\PhpEngine->evaluatePath() /var/www/blog/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php:59, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601446 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /var/www/blog/storage/framework/views/da70819f24f6bd819ef443bdd218bcd0c1e5b879.php on line 14, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601479 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP Stack trace:, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601492 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP   1. {main}() /var/www/blog/public/index.php:0, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601502 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP   2. Illuminate\\Foundation\\Http\\Kernel->handle() /var/www/blog/public/index.php:54, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601512 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP   3. Illuminate\\Foundation\\Http\\Kernel->sendRequestThroughRouter() /var/www/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:116, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601522 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP   4. Illuminate\\Pipeline\\Pipeline->then() /var/www/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:151, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601532 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP   5. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:102, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601542 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP   6. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601558 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP   7. Illuminate\\Foundation\\Http\\Middleware\\CheckForMaintenanceMode->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601567 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP   8. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:46, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601576 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP   9. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601585 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  10. Illuminate\\Foundation\\Http\\Middleware\\ValidatePostSize->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601595 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  11. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/ValidatePostSize.php:27, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601604 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  12. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601613 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  13. Illuminate\\Foundation\\Http\\Middleware\\TransformsRequest->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601622 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  14. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:30, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601631 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  15. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601640 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  16. Illuminate\\Foundation\\Http\\Middleware\\TransformsRequest->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601649 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  17. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:30, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601658 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  18. Illuminate\\Foundation\\Http\\Kernel->Illuminate\\Foundation\\Http\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601667 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  19. Illuminate\\Routing\\Router->dispatch() /var/www/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:176, referer: http://blog.demo/public/login
